AT,V,AP,RH,PowerOutput_pred
22.49,58.82,1009.73,85.19,445.37903
28.88,54.89,1007.16,46.6,438.87408
27.89,73.21,1001.32,85.88,431.75256
25.69,62.26,1011.38,74.08,440.0194
12.16,40.81,1025.79,70.97,475.2789
22.72,62.4,1010.28,80.79,444.60904
20.6,60.08,1017.84,75.92,451.3965
7.51,41.01,1024.61,97.41,480.4306
14.28,39.39,1013.82,77.52,468.5217
11.68,40.23,1018.49,83.43,473.3617
19.89,44.9,1008.12,67.3,456.45874
9.44,43.99,1020.31,98.06,474.98523
20.76,58.79,1017.22,78.75,450.961
30.0,61.5,1009.4,48.63,434.9718
31.38,70.83,1010.35,47.28,433.7254
32.95,67.9,1005.88,45.15,431.46597
21.01,58.96,1014.33,61.8,452.17654
14.56,53.82,1016.37,64.46,466.10037
21.11,69.94,1004.37,84.26,444.02606
29.73,73.06,1010.27,84.84,429.27496
28.28,68.67,1006.36,69.9,432.84222
12.31,40.64,1020.71,94.6,470.9364
8.05,40.8,1028.01,89.56,481.12402
30.35,77.17,1009.55,63.62,434.29324
18.12,43.69,1016.91,52.95,463.75284
25.23,58.82,1010.9,70.47,442.28137
28.38,64.05,1010.19,71.84,434.4026
26.63,73.68,1015.15,85.13,434.1669
26.78,52.3,1008.52,61.23,441.94775
22.69,58.46,1017.74,75.21,447.9007
7.49,39.81,1019.03,87.29,481.14746
14.08,40.73,1017.52,91.49,467.32886
26.11,70.36,1007.64,70.12,436.7542
24.26,61.02,1009.78,76.68,442.48956
27.44,66.56,1005.51,69.28,434.9905
23.17,62.39,1008.04,89.42,442.1753
15.27,38.73,1002.83,77.77,464.7542
12.1,44.77,1019.1,75.85,472.3901
26.73,77.95,1012.31,78.35,435.72348
11.49,35.76,1019.08,60.04,478.24603
19.64,46.33,1013.33,98.99,453.23468
21.12,47.24,1003.79,70.55,452.1916
8.03,37.8,1020.47,60.67,484.5131
31.18,74.34,1003.81,63.59,432.58582
18.15,45.01,1013.06,72.4,460.0047
24.14,63.21,1012.28,89.08,440.8919
19.1,56.53,1020.18,76.38,455.66644
21.27,57.5,1014.53,80.76,449.58142
18.2,45.01,1013.82,68.14,460.61908
17.8,46.48,1007.27,81.31,458.0069
10.59,41.93,1017.7,92.91,473.56506
19.69,56.65,1020.79,66.94,455.87247
13.41,40.89,1010.85,89.61,467.6081
17.37,41.23,998.79,68.44,460.50427
14.09,44.47,1029.08,72.36,470.92984
26.94,62.91,1011.68,41.3,441.87723
31.87,70.94,1006.94,50.78,432.74176
20.75,60.77,1017.91,86.06,449.56277
12.56,43.41,1016.93,81.02,470.79785
11.08,38.16,1014.45,74.99,475.50134
23.62,68.63,1013.18,50.57,445.6888
27.01,71.25,1000.46,87.95,431.80975
19.48,39.72,1001.75,55.41,459.15222
21.11,58.49,1011.6,80.44,449.1156
29.22,72.39,1000.87,77.39,431.57513
22.35,65.61,1016.27,73.93,446.42776
10.11,42.49,1010.22,82.11,474.41302
25.82,61.08,1013.64,66.4,441.54825
17.72,48.14,1013.26,65.09,460.96277
19.13,50.78,1008.51,87.54,453.60907
29.01,66.44,1011.21,71.56,432.73193
16.14,44.21,1020.36,80.59,464.34738
14.64,42.77,1017.59,79.6,467.27722
23.08,74.78,1009.85,83.67,439.93103
13.97,41.16,1020.88,74.88,470.26324
16.74,41.16,1006.87,74.24,462.44
22.51,59.21,1018.35,71.97,448.58145
13.32,43.22,1009.45,75.3,468.7842
19.09,66.51,1015.11,76.38,451.92188
19.51,44.05,1008.52,78.38,456.0196
31.74,72.25,1012.21,41.62,434.8486
13.73,41.78,1011.75,49.65,472.26596
19.78,54.42,1011.74,89.34,451.6698
21.19,58.86,1014.19,68.96,450.87097
5.65,40.72,1022.46,85.17,485.35184
17.9,48.98,1014.17,80.4,458.48828
18.4,43.69,1016.59,52.44,463.22235
17.51,39.54,1010.22,71.53,462.39124
6.84,41.06,1021.04,89.59,482.10565
11.05,40.71,1024.91,76.42,476.55676
17.01,49.15,1021.83,84.02,461.0733
29.83,62.66,1007.98,47.07,434.91974
21.39,64.27,1011.71,95.39,444.94623
8.77,40.46,1019.68,77.84,479.87997
6.34,40.64,1020.62,94.39,482.4688
26.35,69.48,1008.45,70.47,436.6424
11.78,39.96,1011.37,82.95,472.007
5.62,41.38,1020.91,86.21,484.7989
24.96,74.99,1008.25,80.52,436.39767
9.48,40.8,1023.82,78.98,479.01782
